"","year","ISO_code","countries","region","pf_rol_procedural","pf_rol_civil","pf_rol_criminal","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries","pf_ss_disappearances","pf_ss_women_fgm","pf_ss_women_missing","pf_ss_women_inheritance_widows","pf_ss_women_inheritance_daughters","pf_ss_women_inheritance","pf_ss_women","pf_ss","pf_movement_domestic","pf_movement_foreign","pf_movement_women","pf_movement","pf_religion_estop_establish","pf_religion_estop_operate","pf_religion_estop","pf_religion_harassment","pf_religion_restrictions","pf_religion","pf_association_association","pf_association_assembly","pf_association_political_establish","pf_association_political_operate","pf_association_political","pf_association_prof_establish","pf_association_prof_operate","pf_association_prof","pf_association_sport_establish","pf_association_sport_operate","pf_association_sport","pf_association","pf_expression_killed","pf_expression_jailed","pf_expression_influence","pf_expression_control","pf_expression_cable","pf_expression_newspapers","pf_expression_internet","pf_expression","pf_identity_legal","pf_identity_parental_marriage","pf_identity_parental_divorce","pf_identity_parental","pf_identity_sex_male","pf_identity_sex_female","pf_identity_sex","pf_identity_divorce","pf_identity","pf_score","pf_rank","ef_government_consumption","ef_government_transfers","ef_government_enterprises","ef_government_tax_income","ef_government_tax_payroll","ef_government_tax","ef_government","ef_legal_judicial","ef_legal_courts","ef_legal_protection","ef_legal_military","ef_legal_integrity","ef_legal_enforcement","ef_legal_restrictions","ef_legal_police","ef_legal_crime","ef_legal_gender","ef_legal","ef_money_growth","ef_money_sd","ef_money_inflation","ef_money_currency","ef_money","ef_trade_tariffs_revenue","ef_trade_tariffs_mean","ef_trade_tariffs_sd","ef_trade_tariffs","ef_trade_regulatory_nontariff","ef_trade_regulatory_compliance","ef_trade_regulatory","ef_trade_black","ef_trade_movement_foreign","ef_trade_movement_capital","ef_trade_movement_visit","ef_trade_movement","ef_trade","ef_regulation_credit_ownership","ef_regulation_credit_private","ef_regulation_credit_interest","ef_regulation_credit","ef_regulation_labor_minwage","ef_regulation_labor_firing","ef_regulation_labor_bargain","ef_regulation_labor_hours","ef_regulation_labor_dismissal","ef_regulation_labor_conscription","ef_regulation_labor","ef_regulation_business_adm","ef_regulation_business_bureaucracy","ef_regulation_business_start","ef_regulation_business_bribes","ef_regulation_business_licensing","ef_regulation_business_compliance","ef_regulation_business","ef_regulation","ef_score","ef_rank","hf_score","hf_rank","hf_quartile"
"11",2016,"EST","Estonia","Eastern Europe",8.766075886,7.847470597,6.789710192,7.801085558,8.722745246,10,10,10,10,10,10,10,10,10,10,10,10,9.574248415,10,10,10,10,NA,NA,7.5,9.111111111,8.377777778,8.32962963,10,7.5,NA,NA,10,NA,NA,10,NA,NA,10,9.5,10,10,8.333333333,9,10,10,10,9.619047619,7,10,10,10,10,10,10,10,9.25,9.013701218,17,3.473529412,6.061366019,7,10,4,7,5.883723858,7.83907493,5.534038941,7.342769305,8.333333333,6.666666667,5.704890202,9.504907725,8.341100217,7.707635562,1,7.441601876,7.825200968,9.511280261,9.97018,10,9.326665307,9,8.96,6.8384,8.266133333,7.06014951,9.919527094,8.489838302,10,7.815367778,5.384615385,7.743794892,6.981259352,8.434307747,10,10,10,10,6.666666667,6.022956372,8.641165892,4,9.251725385,3,6.263752386,5.129202207,9.555555556,9.822880806,6.853504897,9.239308455,9.439533677,8.339997599,8.201249995,7.86,13,8.436850609,14,1
"12",2016,"FIN","Finland","Western Europe",9.498082762,7.955567929,8.464094281,8.639248324,9.43289225,10,10,10,10,10,10,10,10,10,10,10,10,9.810964083,10,10,10,10,NA,NA,10,8.704444444,5,7.901481481,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,8.666666667,9,10,10,10,9.666666667,7,10,10,10,10,10,10,10,9.25,9.294367917,5,2.858823529,3.245496168,8,3,2,2.5,4.151079924,9.697463512,7.981029352,9.288065433,10,10,5.82513654,7.796890889,9.688242277,8.906801542,1,8.79818106,7.836624827,9.676779653,9.9288,10,9.36055112,9,8.96,6.8384,8.266133333,7.883946102,9.123674546,8.503810324,10,7.664571602,3.076923077,7.743794892,6.16176319,8.232926712,10,8.39351657,10,9.464505523,3.9,4.24147129,2.0626386,8,10,3,5.200684982,6.198007265,7.777777778,9.520281698,8.619912068,9.857978801,8.957532638,8.488581708,7.717924071,7.65,22,8.472183958,10,1
"13",2016,"FRA","France","Western Europe",6.822106571,7.021793985,6.469893744,6.771264767,9.459125262,10,10,10,9.526601542,8.594754052,9.624271119,10,10,10,10,10,10,9.69446546,10,10,10,10,NA,NA,7.5,7.088888889,7.172222222,7.253703704,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,8,6.75,10,10,10,9.25,10,10,10,10,10,10,10,10,10,8.766802927,25,2.961764706,2.418467067,8,5,2,3.5,4.220057943,7.129147053,5.673480431,7.290585042,8.333333333,8.333333333,6.430501438,6.390856768,7.81939586,6.537079812,0.948717949,6.922031615,8.134101246,9.823007965,9.96334,10,9.480112303,9,8.96,6.8384,8.266133333,5.387817223,9.963313765,7.675565494,10,7.183105945,5.384615385,7.743794892,6.770505407,8.178051059,10,8.318580032,10,9.439526677,2.233333333,2.322897912,6.683132648,4,8.503450769,10,5.623802444,2.891066868,8.444444444,9.880589012,6.287959377,7.929110077,8.441903621,7.312512233,7.458613785,7.25,57,8.008401464,32,1
"14",2016,"DEU","Germany","Western Europe",8.623039491,8.542968414,7.743620677,8.303209527,9.52952286,10,10,10,9.886852012,9.699349633,9.917240329,10,10,10,10,10,10,9.815587729,10,10,10,10,NA,NA,10,7.26,5.833333333,7.697777778,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,8,7.5,10,10,10,9.357142857,10,10,10,10,10,10,10,10,10,9.235191378,9,3.858823529,3.064661083,10,5,5,5,5.480871153,7.527478537,6.966449023,7.59893179,10,8.333333333,5.828996821,6.814874361,7.23496437,6.643223763,1,7.438694666,8.144176467,9.871175995,9.90334,10,9.479673116,9,8.96,6.8384,8.266133333,6.841142972,9.175153681,8.008148326,10,6.937747002,3.076923077,7.743794892,5.919488324,8.048442496,5,10,10,8.333333333,8.9,5.990533033,5.486339728,8,6.258626923,10,7.439249947,6.289707025,9.777777778,9.537644584,7.096644401,8.862273511,7.55636683,8.186735688,7.986439656,7.69,20,8.462595689,13,1
"15",2016,"GRC","Greece","Eastern Europe",6.420952186,5.682751134,5.265668671,5.789790663,9.699859465,10,10,5,7.957387577,9.962861592,8.584049834,10,10,5,5,5,8.333333333,8.872414211,10,10,10,10,NA,NA,10,7.577777778,4.394444444,7.324074074,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,5.666666667,5.5,10,10,10,8.738095238,7,5,5,5,10,10,10,5,6.75,7.94676815,45,5.161764706,3.856036481,6,4,1,2.5,4.379450297,4.69250838,2.280541062,4.809173743,8.333333333,7.5,4.125037966,8.044201311,5.647686323,6.574106217,1,5.778509815,7.639092607,9.675467098,9.835,5,8.037389926,9,8.96,6.8384,8.266133333,6.451071898,9.423080809,7.937076354,10,5.024848778,0.769230769,7.743794892,4.512624813,7.678958625,8,5.703061308,10,7.901020436,5.566666667,4.110159873,5.637525717,6,5.510352308,3,4.970784094,2.178889115,6.222222222,9.576683527,3.885155996,8.893453949,7.836599992,6.432167467,6.434657332,6.46,108,7.203384075,61,2
"16",2016,"HUN","Hungary","Eastern Europe",6.555007527,5.013990323,4.748055147,5.439017665,9.171400265,10,10,7.5,10,9.959241995,9.491848399,10,10,10,10,10,10,9.554416221,10,10,10,10,NA,NA,7.5,7.964444444,6.388888889,7.284444444,10,7.5,NA,NA,10,NA,NA,10,NA,NA,7.5,9,10,10,6,5.75,10,10,10,8.821428571,10,10,10,10,10,10,10,10,10,8.258945773,38,3.270588235,5.29140008,4,10,4,7,4.890497079,3.592558305,2.721947233,3.840788205,10,6.666666667,4.993678842,8.025707157,5.799365043,7.632652918,1,5.919262708,9.341476669,9.580795791,9.91986,10,9.710533115,9,8.96,6.8384,8.266133333,5.229872068,9.963313765,7.596592917,10,6.266345977,3.846153846,7.743794892,5.952098239,7.953706122,10,9.082391582,10,9.694130527,7.233333333,5.761316617,6.481043498,4,7.755176154,10,6.8718116,3.206035297,7.333333333,9.575561934,3.416037858,7.566385504,6.895016568,6.332061749,7.632667959,7.22,59,7.739472887,42,2
"17",2016,"ISL","Iceland","Western Europe",NA,NA,NA,7.572814721,9.879820909,10,10,10,10,10,10,10,10,10,10,10,10,9.959940303,10,10,10,10,NA,NA,10,9.555555556,4.811111111,8.122222222,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,8.666666667,8.75,10,10,10,9.630952381,7,10,10,10,10,10,10,10,9.25,9.083506216,13,2.347058824,7.957880124,8,4,3,3.5,5.451234737,7.954019705,6.783351501,8.173315525,10,10,6.775094571,8.750492215,8.9432621,8.214600882,1,8.3993485,9.22481209,9.335315307,9.66106,0,7.055296849,9.846666667,9.06,3.0628,7.323155556,5.241717498,8.768644961,7.005181229,10,4.442493717,0.769230769,7.743794892,4.318506459,7.161710811,5,10,10,8.333333333,5.566666667,7.3904109,5.069475968,8,10,10,7.671092256,5.34405311,7.777777778,9.590608056,7.452576002,9.549096077,8.430694295,8.02413422,8.009519936,7.22,59,8.151753108,27,1
"18",2016,"IRL","Ireland","Western Europe",NA,NA,NA,7.614721658,9.679168161,10,10,7.5,9.859642533,9.87367828,9.446664163,10,10,10,10,10,10,9.708610774,10,10,10,10,NA,NA,10,8.593333333,8.655555556,9.082962963,10,10,NA,NA,7.5,NA,NA,5,NA,NA,5,7.5,10,10,8,8.5,10,10,10,9.5,10,10,10,10,10,10,10,10,10,8.939129404,21,3.735294118,7.013149827,10,6,3,4.5,6.312110986,8.809975783,5.323138238,8.293745518,10,10,3.931480739,8.582895926,7.993029753,6.554349263,1,7.720957247,7.825451789,9.195889134,10,10,9.255335231,9,8.96,6.8384,8.266133333,6.813495953,9.082844123,7.948170038,10,8.005208174,7.692307692,8.850051305,8.182522391,8.599206441,8,9.527083312,10,9.175694437,8.9,5.162262122,7.113015652,10,6.373746095,10,7.924837311,5.116890272,10,9.837816447,7.274972757,8.472737991,9.08083523,8.297208783,8.46591351,8.07,5,8.504564702,8,1
"19",2016,"ITA","Italy","Western Europe",7.522592227,5.556020306,6.432902523,6.503838352,9.730774735,10,10,10,9.994501945,9.996701167,9.998240622,10,10,10,10,10,10,9.909671786,10,10,10,10,NA,NA,10,7.808888889,6.338888889,8.049259259,10,10,NA,NA,10,NA,NA,7.5,NA,NA,10,9.5,10,10,6,7.5,10,10,10,9.071428571,7,10,10,10,10,10,10,10,9.25,8.690446317,30,4.835294118,3.456202044,10,5,2,3.5,5.44787404,5.016025702,1.987938086,5.041962465,10,6.666666667,3.596415071,8.251282756,5.767509143,5.055023828,1,5.709202635,7.959195877,9.820278621,9.97534,10,9.438703624,9,8.96,6.8384,8.266133333,6.3677303,9.963313765,8.165522032,10,5.045670271,6.923076923,7.743794892,6.570847362,8.250625682,10,8.666396601,10,9.555465534,5.566666667,2.993160088,4.081801573,8,10,10,6.773604721,1.687153975,7.111111111,9.647981362,3.792206764,7.202045107,7.332180301,6.12877977,7.485950008,7.27,54,7.980223159,34,1
"20",2016,"LVA","Latvia","Eastern Europe",NA,NA,NA,6.681684163,8.65506611,10,10,10,10,10,10,10,10,10,10,10,10,9.551688703,10,10,10,10,NA,NA,10,9.111111111,6.527777778,8.546296296,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,7.666666667,8,10,10,10,9.380952381,10,10,10,10,10,10,10,10,10,8.851068084,22,5.094117647,7.019054772,8,9,4,6.5,6.653293105,4.374066592,2.662994862,5.061287085,8.333333333,8.333333333,5.526466726,9.030740107,5.433932145,7.0149827,1,6.196792987,7.845655558,9.474564075,9.97318,10,9.323349908,9,8.96,6.8384,8.266133333,6.691350937,9.415980373,8.053665655,10,6.575396061,6.923076923,7.743794892,7.080755959,8.350138737,8,9.285211406,8,8.428403802,5,4.164066315,8.426756858,10,7.755176154,10,7.557666555,3.182594378,9.111111111,9.805001036,3.986590982,7.786807332,8.11122849,6.997222222,7.661097526,7.64,23,8.245534042,23,1
